materials,CD,AS,AL,NS,NB,DD
sample386,2.2212,91,41.0,6,5,1.0
sample53,2.6763,291,85.0,50,45,1.355555556
sample267,2.7182,253,201.0,12,1,9.05
sample249,2.6703,243,218.0,2,0,9.9
sample99,2.4346,201,81.0,14,4,3.05
sample37,2.4011,74,41.0,7,6,1.0
sample399,2.3445,143,41.0,10,6,1.0
sample156,2.0487,62,41.0,1,0,1.0
sample95,2.4085,185,81.0,10,0,3.05
sample5,2.6211,216,41.0,25,16,1.0
sample189,2.2962,103,81.0,1,0,3.05
sample92,2.3879,170,81.0,7,0,3.05
sample57,2.1794,107,41.0,6,3,1.0
sample426,2.7704,271,126.0,30,27,0.938461538
sample356,2.7819,272,41.0,49,36,1.0
sample265,2.7047,250,219.0,9,0,9.95
sample151,2.0607,67,41.0,1,0,1.0
sample55,2.4035,131,41.0,10,5,1.0
sample452,2.2942,97,81.0,1,0,3.05
sample192,2.2825,100,81.0,1,0,3.05
sample301,2.8513,290,134.0,49,36,5.7
sample16,2.5406,202,41.0,23,16,1.0
sample313,2.8872,304,112.0,63,48,4.6
sample172,2.2657,98,76.0,1,0,2.05
